,UM1,UM2
Banks-Of-The-Superior-Temporal-Sulcus,0.7237,0.7262
Caudal-Anterior-Cingulate-Cortex,0.7933,0.7973
Caudal-Middle-Frontal-Cortex,0.8137,0.8173
Corpus-Callosum,0.7022,0.7044
Cuneus,0.7751,0.779
Entorhinal-Cortex,0.7622,0.7626
Fusiform-Gyrus,0.8051,0.8053
Inferior-Parietal-Cortex,0.8049,0.8137
Inferior-Temporal-Cortex,0.8025,0.8045
Ismus-Of-The-Cingulate-Cortex,0.8027,0.8049
Lateral-Occipital-Cortex,0.7661,0.774
Lateral-Orbitofrontal-Cortex,0.8473,0.851
Lingual-Gyrus,0.8138,0.8191
Medial-Orbitofrontal-Cortex,0.8268,0.8302
Middle-Temporal-Cortex,0.7993,0.8032
Parahippocampal-Gyrus,0.8082,0.812
Paracentral-Lobule,0.8143,0.8194
Pars-Opercularis,0.802,0.8047
Pars-Orbitalis,0.7775,0.7779
Pars-Triangularis,0.7929,0.7976
Pericalcarine-Cortex,0.74,0.7503
Postcentral-Gyrus,0.818,0.8203
Posterior-Cingulate-Cortex,0.8231,0.8244
Precentral-Gyrus,0.8232,0.8241
Precuneus,0.8372,0.8413
Rostral-Anterior-Cingulate-Cortex,0.8168,0.8182
Rostral-Middle-Frontal-Cortex,0.8183,0.8186
Superior-Frontal-Gyrus,0.8619,0.8604
Superior-Parietal-Lobule,0.8196,0.8239
Superior-Temporal-Gyrus,0.8293,0.8315
Supramarginal-Gyrus,0.8098,0.8108
Frontal-Pole,0.5687,0.5742
Temporal-Pole,0.646,0.655
Transverse-Temporal-Gyrus,0.8107,0.8116
Cerebral-White-Matter,0.9352,0.9391
Ventricles,0.9396,0.9403
Inf-Lat-Vent,0.8415,0.844
Cerebellum-White-Matter,0.8752,0.8691
Cerebellum-Cortex,0.9137,0.9167
Thalamus-Proper,0.9111,0.9126
Caudate,0.9027,0.8986
Putamen,0.8983,0.897
Pallidum,0.8595,0.858
Brain-Stem,0.9401,0.9408
Hippocampus,0.872,0.8794
Amygdala,0.8519,0.8532
Csf,0.8264,0.8254
Accumbens-Area,0.8049,0.8055
Ventraldc,0.8722,0.8768
Vessel,0.6415,0.6402
Choroid-Plexus,0.744,0.7479
Hypointensities,0.7661,0.7705
Others,0.8267,0.8282
Cortical,0.7899,0.7932
subcortical,0.8553,0.8564
whole brain,0.8128,0.8153
RMSD,0.0155 (0.0011),
CORR,0.737 (0.031),